,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,MEANSHR,MEANGAM,TOTBSQ,TOTFZ,EPSZ,FLARE_CLASS
9167,1174.527,1.905156e+23,22177630000000.0,306.624,15388340000000.0,1.469662e+22,532.950317,6953.069,4.208,24.981,34.87,41.65,19458000000,-2916.8,-0.2844,C
9168,381.234,6.728816e+22,8187459000000.0,55.821,3693529000000.0,4.310082e+21,353.400299,6895.36,3.315,37.371,39.862,50.812,5712200000,-504.14,-0.1674,No Flares
9169,1525.691,3.100287e+23,30891430000000.0,538.956,27938060000000.0,1.777479e+22,691.413757,8900.7,4.678,38.162,41.575,49.619,24188000000,-2750.1,-0.2157,C
9170,193.277,1.473578e+22,4054877000000.0,8.602,811594900000.0,3.662481e+21,76.410965,1910.114,0.0,4.424,23.564,28.827,2766200000,-784.1,-0.5377,No Flares
9171,262.576,3.781702e+22,5341163000000.0,25.589,1568197000000.0,3.253514e+21,280.178864,5751.507,2.526,23.268,33.044,44.358,4004600000,-449.38,-0.2129,No Flares
9172,2192.628,4.540243e+23,41908480000000.0,614.338,25344130000000.0,2.303346e+22,945.598511,10063.12,4.719,41.733,42.604,50.712,30451000000,-2652.6,-0.1652,M
9173,88.158,6.744135e+21,2092250000000.0,1.664,183710400000.0,1.549997e+21,54.611073,1855.405,0.0,4.859,24.408,29.97,1460600000,-286.66,-0.3723,No Flares
9174,387.619,4.167125e+22,7346253000000.0,7.502,1256975000000.0,8.406113e+21,161.904861,2615.697,3.375,10.22,24.909,31.532,7433500000,-2013.8,-0.5139,No Flares
9175,178.581,1.966378e+22,4077632000000.0,29.842,1883104000000.0,2.308161e+21,201.486633,3862.919,2.953,19.019,30.497,39.81,3125000000,-246.89,-0.1499,No Flares
9176,2368.639,4.826994e+23,43243830000000.0,386.535,12605850000000.0,2.472232e+22,1013.8302,10214.89,4.829,40.897,41.994,49.636,33275000000,-2908.5,-0.1658,M
9177,25.278,1.575064e+21,622243400000.0,5.252,316126300000.0,3.770384e+20,29.902929,1701.582,2.144,6.313,24.818,28.516,706060000,-70.147,-0.1885,No Flares
9178,162.312,1.587109e+22,3693439000000.0,21.373,1085289000000.0,2.417667e+21,133.856461,2952.985,0.0,12.849,28.757,36.281,3422900000,-219.24,-0.1215,No Flares
9179,2290.627,4.775098e+23,42309320000000.0,221.568,11382230000000.0,2.669972e+22,1024.359131,9302.941,4.643,35.99,39.687,46.53,35009000000,-3514.3,-0.1904,C
9180,13.106,6.658736e+20,291651300000.0,4.403,312836800000.0,1.87727e+20,35.383167,1633.206,0.0,1.954,20.703,29.763,462020000,-25.968,-0.1066,No Flares
9181,136.149,1.265801e+22,3204113000000.0,6.184,227802700000.0,2.527076e+21,81.555931,2210.929,2.734,4.709,25.074,29.866,3559800000,-381.65,-0.2034,No Flares
9182,2146.032,4.762209e+23,41482060000000.0,201.172,11613180000000.0,3.053886e+22,1033.069702,7954.131,4.449,33.146,38.213,43.834,37778000000,-5009.0,-0.2515,C
9183,11.551,2.505363e+20,207312600000.0,3.974,195659700000.0,1.195296e+20,33.130745,1065.823,0.0,0.0,14.449,29.806,370240000,-39.552,-0.2026,No Flares
9184,87.143,6.851662e+21,1868334000000.0,2.127,313710600000.0,2.011617e+21,37.419617,1533.654,2.566,0.713,20.317,25.301,3614700000,-659.79,-0.3462,No Flares
9185,1811.057,3.755652e+23,35299350000000.0,183.859,7879111000000.0,3.243642e+22,917.898376,5794.28,4.103,24.522,33.261,39.372,35631000000,-6465.4,-0.3442,C
9186,11.082,3.971371e+20,263412600000.0,1.169,66792880000.0,1.110824e+20,22.120193,1565.649,0.0,3.665,21.037,27.629,373350000,-19.694,-0.1001,No Flares
9187,1479.595,3.504773e+23,29544230000000.0,164.232,9473653000000.0,3.314472e+22,789.38916,5028.865,3.922,22.255,30.557,38.874,34937000000,-6821.4,-0.3704,C
